2	10	1
3	12	1
5	16	1
6	17	1
6	9	1
7	0	1
8	16	1
8	8	1
10	10	1
10	13	1
10	28	1
10	29	1
11	19	1
11	6	1
15	0	1
16	5	1
17	9	1
18	36	1
18	6	1
21	10	1
22	10	1
24	9	1
26	1	1
27	38	1
30	34	1
32	47	1
34	10	1
34	5	1
36	0	1
36	52	1
36	54	1
37	1	1
38	0	1
38	5	1
38	13	1
41	0	1
41	57	1
42	0	1
42	52	1
43	58	1
44	0	1
44	1	1
44	10	1
46	5	1
47	7	1
48	16	1
50	0	1
50	52	1
51	10	1
53	3	1
53	52	1
54	0	1
55	64	1
57	57	1
57	52	1
57	1	1
57	31	1
58	13	1
59	52	1
60	18	1
61	9	1
62	1	1
63	52	1
66	31	1
67	1	1
68	65	1
68	18	1
68	13	1
71	16	1
71	18	1
71	13	1
74	13	1
75	0	1
75	53	1
76	32	1
76	68	1
76	52	1
76	59	1
76	31	1
77	18	1
77	5	1
78	55	1
78	7	1
79	18	1
79	53	1
80	1	1
80	52	1
82	13	1
83	10	1
83	13	1
84	10	1
85	13	1
87	10	1
88	5	1
89	0	1
89	5	1
93	52	1
94	74	1
95	0	1
97	13	1
100	0	1
102	1	1
102	39	1
103	1	1
103	34	1
105	34	1
105	3	1
106	56	1
106	0	1
106	50	1
106	5	1
107	10	1
108	5	1
111	34	1
111	19	1
111	5	1
112	9	1
112	5	1
115	0	1
115	5	1
116	5	1
117	51	1
118	5	1
120	56	1
122	8	1
124	80	1
124	1	1
126	81	1
127	75	1
128	0	1
128	5	1
130	52	1
131	16	1
131	49	1
131	84	1
132	34	1
132	29	1
132	14	1
134	57	1
135	65	1
135	18	1
136	17	1
136	5	1
136	9	1
139	1	1
140	16	1
140	31	1
141	0	1
142	5	1
143	29	1
143	86	1
145	0	1
145	40	1
145	19	1
148	5	1
150	1	1
150	19	1
150	13	1
151	5	1
151	38	1
152	9	1
152	87	1
153	19	1
155	0	1
155	5	1
155	6	1
155	16	1
155	57	1
155	31	1
156	29	1
157	0	1
157	1	1
158	0	1
158	1	1
158	51	1
159	0	1
159	5	1
160	8	1
164	5	1
166	52	1
167	27	1
168	0	1
168	18	1
168	84	1
168	13	1
169	0	1
169	5	1
172	80	1
173	57	1
173	38	1
174	3	1
175	20	1
176	5	1
177	52	1
178	16	1
182	52	1
183	16	1
185	10	1
185	37	1
185	95	1
186	0	1
186	10	1
187	16	1
188	0	1
188	37	1
188	5	1
188	14	1
188	84	1
189	16	1
190	51	1
192	1	1
193	52	1
193	29	1
197	52	1
199	0	1
199	75	1
200	14	1
202	3	1
204	29	1
204	31	1
205	0	1
205	57	1
205	29	1
205	1	1
207	10	1
208	43	1
208	5	1
209	43	1
210	16	1
210	13	1
210	14	1
212	19	1
212	5	1
213	13	1
213	38	1
213	55	1
214	0	1
215	59	1
216	57	1
216	10	1
216	13	1
217	34	1
217	29	1
218	17	1
218	19	1
218	52	1
222	1	1
222	5	1
222	102	1
222	7	1
222	8	1
222	37	1
222	13	1
223	5	1
225	0	1
225	1	1
225	5	1
225	8	1
225	10	1
226	0	1
229	17	1
230	5	1
231	107	1
231	27	1
231	108	1
231	31	1
233	29	1
233	5	1
235	34	1
235	109	1
235	14	1
239	10	1
239	5	1
239	6	1
242	5	1
243	0	1
243	34	1
243	35	1
243	5	1
243	7	1
243	112	1
243	113	1
245	0	1
245	97	1
246	52	1
247	8	1
247	76	1
248	17	1
248	18	1
248	34	1
250	84	1
250	5	1
253	13	1
255	0	1
255	52	1
257	29	1
258	18	1
258	31	1
260	50	1
260	95	1
261	17	1
261	18	1
261	51	1
261	5	1
262	84	1
262	14	1
263	29	1
265	75	1
267	29	1
268	0	1
268	39	1
268	10	1
268	13	1
268	17	1
270	1	1
270	10	1
271	1	1
272	49	1
273	0	1
273	52	1
273	38	1
279	0	1
281	52	1
282	10	1
284	66	1
286	32	1
286	82	1
286	5	1
286	13	1
287	66	1
289	16	1
289	29	1
291	5	1
292	29	1
300	1	1
301	52	1
305	1	1
309	71	1
310	5	1
311	1	1
312	50	1
312	3	1
315	7	1
317	1	1
317	7	1
319	71	1
323	5	1
323	29	1
324	26	1
324	31	1
325	50	1
326	10	1
327	34	1
328	52	1
329	17	1
329	75	1
329	45	1
329	51	1
330	19	1
331	80	1
331	79	1
333	50	1
334	1	1
334	52	1
334	5	1
335	52	1
337	0	1
337	1	1
341	56	1
343	0	1
343	50	1
344	52	1
346	1	1
346	52	1
350	1	1
350	52	1
350	29	1
351	1	1
352	0	1
352	52	1
353	1	1
353	29	1
355	6	1
357	7	1
358	8	1
358	10	1
358	48	1
361	27	1
361	52	1
363	0	1
367	1	1
368	1	1
369	5	1
371	18	1
371	54	1
376	29	1
378	5	1
382	19	1
383	0	1
383	1	1
384	1	1
384	50	1
384	7	1
393	29	1
393	18	1
393	5	1
394	16	1
394	29	1
399	1	1
399	52	1
400	1	1
402	1	1
403	1	1
404	1	1
405	5	1
406	1	1
406	52	1
411	7	1
413	1	1
413	52	1
414	46	1
415	52	1
416	0	1
421	52	1
423	27	1
424	16	1
429	1	1
431	1	1
434	1	1
442	52	1
447	52	1
448	1	1
449	52	1
451	1	1
456	5	1
457	66	1
457	3	1
458	5	1
458	6	1
459	5	1
460	50	1
463	19	1
465	29	1
467	16	1
468	51	1
469	52	1
470	0	1
473	1	1
474	5	1
476	5	1
482	29	1
483	0	1
484	29	1
488	1	1
491	0	1
493	0	1
498	29	1
501	52	1
502	10	1
504	7	1
505	0	1
507	1	1
507	52	1
508	29	1
509	5	1
512	29	1
512	5	1
513	5	1
514	7	1
521	120	1
524	64	1
525	5	1
527	64	1
527	5	1
528	29	1
529	29	1
531	29	1
531	5	1
532	10	1
533	10	1
533	29	1
534	5	1
535	52	1
542	34	1
542	5	1
543	1	1
544	18	1
544	27	1
544	52	1
550	5	1
550	52	1
550	53	1
553	26	1
555	10	1
555	38	1
556	5	1
558	5	1
560	5	1
560	79	1
561	10	1
564	57	1
564	50	1
564	3	1
566	16	1
568	1	1
569	52	1
572	13	1
573	28	1
573	13	1
574	9	1
575	52	1
575	7	1
576	29	1
583	29	1
585	29	1
586	52	1
588	38	1
589	10	1
590	10	1
592	6	1
592	7	1
595	13	1
595	29	1
600	5	1
602	0	1
606	52	1
608	0	1
608	14	1
609	0	1
610	29	1
613	26	1
616	0	1
618	52	1
618	5	1
619	52	1
621	13	1
622	1	1
623	18	1
623	5	1
